stock_code,company_name,corp_code,total_score,profitability_score,stability_score,efficiency_score,growth_score,valuation_score,financial_records,latest_year,analysis_date,매출액_amount,영업이익_amount,당기순이익_amount,총자산_amount,자기자본_amount,부채총계_amount,유동자산_amount,ROE,영업이익률,순이익률,부채비율,총자산회전율,성장성,가치평가,유동부채_amount,유동비율
065420,에스아이리소스,00120906,86,30,25,4,15,12,112,2023,2025-07-19 17:22:32,7041912337.0,8594306168.0,9274263535.0,13402796881.0,21967705826.0,3612351764.0,8596170993.0,42.2%,122.0%,131.7%,16.4%,0.53회,추정값,추정값,1225615366.0,701.4%
048530,인트론바이오,00292434,82,30,25,0,15,12,244,2023,2025-07-19 17:22:14,9585444181.0,3284959245.0,10836889471.0,98614591162.0,40978438797.0,1880362151.0,516773579.0,26.4%,34.3%,113.1%,4.6%,0.10회,추정값,추정값,41652312.0,1240.7%
057880,푸른소나무,00410739,82,30,25,0,15,12,146,2023,2025-07-19 17:22:29,2022572434.0,10056024966.0,17763055694.0,9561771923.0,59403687500.0,8622729575.0,8531348625.0,29.9%,497.2%,878.2%,14.5%,0.21회,추정값,추정값,934492090.0,912.9%
003580,HLB글로벌,00169048,82,26,22,7,15,12,251,2023,2025-07-19 17:22:13,79865665763.0,12904274682.0,22808276828.0,110104673211.0,126223309582.0,58156709031.0,1603701296.0,18.1%,16.2%,28.6%,46.1%,0.73회,추정값,추정값,24311533.0,6596.5%
033100,제룡전기,00185356,81,30,14,10,15,12,94,2023,2025-07-19 17:22:33,183941144839.0,70151892797.0,71868526635.0,158673279049.0,17169383713.0,33868881681.0,24140742237.0,418.6%,38.1%,39.1%,197.3%,1.16회,추정값,추정값,720916850.0,3348.6%
002840,미원상사,00121932,80,28,25,0,15,12,316,2023,2025-07-19 17:22:10,2947833896.0,61015747625.0,61015747625.0,447566168775.0,377967231783.0,69598936992.0,250835064507.0,16.1%,2069.9%,2069.9%,18.4%,0.01회,추정값,추정값,30116262794.0,832.9%
065710,서호전기,00220622,80,28,25,0,15,12,305,2023,2025-07-19 17:22:10,950186198.0,12980216204.0,15495272850.0,103880709547.0,88551226822.0,9819985519.0,47506291411.0,17.5%,1366.1%,1630.8%,11.1%,0.01회,추정값,추정값,1789335080.0,2655.0%
066910,손오공,00306870,79,28,14,10,15,12,163,2023,2025-07-19 17:22:26,50347819486.0,9498690286.0,11875203041.0,49037996551.0,21810933267.0,27227063284.0,509297598.0,54.4%,18.9%,23.6%,124.8%,1.03회,추정값,추정값,245151241.0,207.7%
050120,ES큐브,00175623,79,20,25,7,15,12,150,2023,2025-07-19 17:22:28,63333992892.0,,27938425125.0,87792996860.0,26123097474.0,5267023017.0,53249441444.0,106.9%,,44.1%,20.2%,0.72회,추정값,추정값,2429621762.0,2191.7%
026890,스틱인베스트먼트,00117498,78,24,25,2,15,12,195,2023,2025-07-19 17:22:20,93760178861.0,33098199451.0,27594774707.0,284857118798.0,201590785880.0,32075108163.0,187314848613.0,13.7%,35.3%,29.4%,15.9%,0.33회,추정값,추정값,4182806401.0,4478.2%
048430,유라테크,00201742,78,16,25,10,15,12,149,2023,2025-07-19 17:22:28,209704070807.0,6031551193.0,21560103234.0,165264610057.0,133923591947.0,31341018110.0,55117843150.0,16.1%,2.9%,10.3%,23.4%,1.27회,추정값,추정값,4127316017.0,1335.4%
002960,한국쉘석유,00158149,78,23,18,10,15,12,87,2023,2025-07-19 17:22:33,320486205004.0,42296587917.0,37379114562.0,188371616567.0,118149917508.0,62221361302.0,29234267603.0,31.6%,13.2%,11.7%,52.7%,1.70회,추정값,추정값,2071762532.0,1411.1%
007820,에스엠코어,00137915,78,23,18,10,15,12,178,2023,2025-07-19 17:22:23,173774167026.0,18809878235.0,18433905890.0,81807020561.0,39603445048.0,33139972716.0,3719734450.0,46.5%,10.8%,10.6%,83.7%,2.12회,추정값,추정값,381450931.0,975.2%
006890,태경케미컬,00109161,78,24,25,2,15,12,128,2023,2025-07-19 17:22:31,70748221182.0,17877381574.0,17419399597.0,182882306558.0,161943177914.0,20900958071.0,113944135080.0,10.8%,25.3%,24.6%,12.9%,0.39회,추정값,추정값,8472877926.0,1344.8%
036180,지더블유바이텍,00257149,77,30,13,7,15,12,182,2023,2025-07-19 17:22:22,47923293202.0,9784659952.0,16749103670.0,57884170089.0,39676252653.0,28553917246.0,5900000000.0,42.2%,20.4%,34.9%,72.0%,0.83회,추정값,추정값,4568632259.0,129.1%
027830,대성창투,00109037,76,24,25,0,15,12,198,2023,2025-07-19 17:22:19,1837776069.0,2052559665.0,2525585718.0,86321962760.0,23549950347.0,1388535684.0,3056121501.0,10.7%,111.7%,137.4%,5.9%,0.02회,추정값,추정값,197600604.0,1546.6%
036220,오상헬스케어,00260657,75,30,8,10,15,12,174,2023,2025-07-19 17:22:24,355846882565.0,142827493353.0,116664689672.0,320546708566.0,9718652511.0,27256040100.0,701571818.0,1200.4%,40.1%,32.8%,280.5%,1.11회,추정값,추정값,377490174.0,185.9%
060370,LS마린솔루션,00225742,75,28,18,2,15,12,111,2023,2025-07-19 17:22:32,70779250390.0,13086945968.0,11617864038.0,146727764284.0,25938232000.0,24097545990.0,79960955194.0,44.8%,18.5%,16.4%,92.9%,0.48회,추정값,추정값,206581584.0,38706.7%
047080,한빛소프트,00348292,74,30,10,7,15,12,157,2023,2025-07-19 17:22:27,25928442550.0,6524096635.0,9401263824.0,31663337032.0,72113779.0,16116053308.0,5406068462.0,13036.7%,25.2%,36.3%,22348.1%,0.82회,추정값,추정값,1297447355.0,416.7%
052670,제일바이오,00185505,74,20,25,2,15,12,182,2023,2025-07-19 17:22:22,12110806940.0,2017928799.0,1464050680.0,33503080800.0,13445617115.0,2430928306.0,5360713031.0,10.9%,16.7%,12.1%,18.1%,0.36회,추정값,추정값,301424895.0,1778.5%
030350,드래곤플라이,00230036,74,30,15,2,15,12,214,2023,2025-07-19 17:22:17,16617929586.0,13327228938.0,27654584587.0,37622097422.0,34694486500.0,9258062770.0,71585562.0,79.7%,80.2%,166.4%,26.7%,0.44회,추정값,추정값,382235479.0,18.7%
015540,에코바이브,00108065,73,21,25,0,15,12,188,2023,2025-07-19 17:22:21,6162328.0,38876840.0,7704386050.0,21716385757.0,92521339393.0,4335569903.0,1224051.0,8.3%,630.9%,125024.0%,4.7%,0.00회,추정값,추정값,516410.0,237.0%
054950,제이브이엠,00361381,73,28,14,4,15,12,158,2023,2025-07-19 17:22:26,157085342969.0,29770728060.0,26243571574.0,257522493174.0,45278039297.0,78030231968.0,109917539688.0,58.0%,19.0%,16.7%,172.3%,0.61회,추정값,추정값,3388153250.0,3244.2%
001560,제일연마,00148461,73,14,25,7,15,12,155,2023,2025-07-19 17:22:27,85239048510.0,7891764655.0,10917005887.0,106615084744.0,95715385499.0,10794721777.0,50311671074.0,11.4%,9.3%,12.8%,11.3%,0.80회,추정값,추정값,2659717634.0,1891.6%
049130,하우리,00352000,73,21,25,0,15,12,86,2023,2025-07-19 17:22:33,8322398405.0,7997177190.0,7997177190.0,44971959708.0,89021361688.0,2682080464.0,20169356832.0,9.0%,96.1%,96.1%,3.0%,0.19회,추정값,추정값,79000000.0,25530.8%
001360,삼성제약,00126414,73,30,12,4,15,12,133,2023,2025-07-19 17:22:30,51955037960.0,18037069707.0,24812021765.0,93479032024.0,33581039500.0,15894485487.0,5076350.0,73.9%,34.7%,47.8%,47.3%,0.56회,추정값,추정값,3076138293.0,0.2%
047920,HLB제약,00336817,73,21,18,7,15,12,128,2023,2025-07-19 17:22:31,135952754160.0,19542188127.0,19427452535.0,141351632159.0,97434451284.0,53198231806.0,69777117278.0,19.9%,14.4%,14.3%,54.6%,0.96회,추정값,추정값,4302146046.0,1621.9%
033790,피노,00276083,73,21,25,0,15,12,177,2023,2025-07-19 17:22:23,6967041262.0,2124130241.0,1942923931.0,23965226465.0,26906396361.0,2424233703.0,11299197405.0,7.2%,30.5%,27.9%,9.0%,0.29회,추정값,추정값,294979041.0,3830.5%
031860,디에이치엑스컴퍼니,00180865,72,20,25,0,15,12,194,2023,2025-07-19 17:22:20,11308943767.0,,31732345265.0,66082716379.0,60347346528.0,6333663136.0,3569213897.0,52.6%,,280.6%,10.5%,0.17회,추정값,추정값,830231778.0,429.9%
028300,HLB,00199252,72,30,15,0,15,12,265,2023,2025-07-19 17:22:12,42900561196.0,125024740610.0,212796314225.0,751721630091.0,686558242366.0,169475199911.0,896779634.0,31.0%,291.4%,496.0%,24.7%,0.06회,추정값,추정값,83142776333.0,1.1%
011000,진원생명과학,00118521,72,30,15,0,15,12,211,2023,2025-07-19 17:22:17,40202911101.0,48368031089.0,77654595119.0,151007705312.0,213491409734.0,39518497761.0,490694981.0,36.4%,120.3%,193.2%,18.5%,0.27회,추정값,추정값,16651011430.0,2.9%
036640,HRS,00230911,72,26,15,4,15,12,165,2023,2025-07-19 17:22:25,78169020610.0,12521004402.0,15029423395.0,125506249368.0,96517293121.0,10999061294.0,,15.6%,16.0%,19.2%,11.4%,0.62회,추정값,추정값,292989906.0,
004770,써니전자,00138057,72,22,23,0,15,12,143,2023,2025-07-19 17:22:29,12759842344.0,901749708.0,3864294306.0,82497512373.0,19301442000.0,1493834307.0,786316020.0,20.0%,7.1%,30.3%,7.7%,0.15회,추정값,추정값,458128909.0,171.6%
044990,에이치엔에스하이텍,00311216,72,28,10,7,15,12,138,2023,2025-07-19 17:22:30,80551938241.0,13956323764.0,30138955001.0,95968496115.0,3755532000.0,8945416934.0,35811957947.0,802.5%,17.3%,37.4%,238.2%,0.84회,추정값,추정값,2034944961.0,1759.8%
007390,네이처셀,00117276,72,20,25,0,15,12,299,2023,2025-07-19 17:22:10,19350887029.0,242245698.0,11680328640.0,68398678569.0,32078578000.0,6979490237.0,27776783317.0,36.4%,1.3%,60.4%,21.8%,0.28회,추정값,추정값,2765259581.0,1004.5%
035290,골드앤에스,00249502,72,16,25,4,15,12,131,2023,2025-07-19 17:22:31,9949791745.0,1365862741.0,2959689601.0,15650914771.0,50294964690.0,3424842510.0,2722211194.0,5.9%,13.7%,29.7%,6.8%,0.64회,추정값,추정값,602443234.0,451.9%
060910,프리젠,00353230,72,30,8,7,15,12,79,2023,2025-07-19 17:22:33,1299489561.0,422665203.0,471035277.0,1306927569.0,1735961500.0,1252319036.0,2364800.0,27.1%,32.5%,36.2%,72.1%,0.99회,추정값,추정값,586424458.0,0.4%
054220,비츠로시스,00201432,72,18,25,2,15,12,114,2023,2025-07-19 17:22:32,19552896164.0,7056918833.0,6342052544.0,40710235274.0,167800208120.0,23387746496.0,6864890000.0,3.8%,36.1%,32.4%,13.9%,0.48회,추정값,추정값,937895090.0,731.9%
050090,비케이홀딩스,00369569,71,30,10,4,15,12,106,2023,2025-07-19 17:22:32,11335961846.0,3282710677.0,4419397299.0,21821788397.0,6134000.0,4617273515.0,5552717045.0,72047.6%,29.0%,39.0%,75273.5%,0.52회,추정값,추정값,963091436.0,576.6%
046400,휴스토리,00263140,71,30,14,0,15,12,92,2023,2025-07-19 17:22:33,2832983379.0,1325499036.0,12614858084.0,19748746672.0,9460218564.0,11837380971.0,7177587261.0,133.3%,46.8%,445.3%,125.1%,0.14회,추정값,추정값,134776892.0,5325.5%
051390,YW,00296263,71,17,25,2,15,12,163,2023,2025-07-19 17:22:26,36985666180.0,6475058909.0,5339132030.0,97572343361.0,72309430858.0,17693677203.0,51571431354.0,7.4%,17.5%,14.4%,24.5%,0.38회,추정값,추정값,9359793680.0,551.0%
011040,경동제약,00101549,71,26,14,4,15,12,203,2023,2025-07-19 17:22:18,162674098953.0,24954556706.0,20707555027.0,292970765185.0,34108284559.0,64493723064.0,1789601070.0,60.7%,15.3%,12.7%,189.1%,0.56회,추정값,추정값,517897390.0,345.6%
052770,아이톡시,00346911,71,20,14,10,15,12,162,2023,2025-07-19 17:22:26,21646147033.0,,4425876712.0,14584339566.0,2820960991.0,3392507024.0,4181251797.0,156.9%,,20.4%,120.3%,1.48회,추정값,추정값,400708144.0,1043.5%
039790,위노바,00261735,71,30,10,4,15,12,110,2023,2025-07-19 17:22:32,6495319352.0,2018366238.0,2262962708.0,10911165157.0,2666882562.0,8313681202.0,8473015287.0,84.9%,31.1%,34.8%,311.7%,0.60회,추정값,추정값,2561333647.0,330.8%
041830,인바디,00269922,71,30,10,4,15,12,133,2023,2025-07-19 17:22:30,170351229733.0,38348312615.0,36722823528.0,274456137995.0,1576864401.0,24621262147.0,125492338842.0,2328.9%,22.5%,21.6%,1561.4%,0.62회,추정값,추정값,7170214025.0,1750.2%
065570,삼영이엔씨,00288343,71,28,14,2,15,12,126,2023,2025-07-19 17:22:31,33338252948.0,6125614406.0,16223274401.0,73646827865.0,21735792835.0,39902647065.0,19162000504.0,74.6%,18.4%,48.7%,183.6%,0.45회,추정값,추정값,4124831320.0,464.6%
009190,대양금속,00111111,71,22,12,10,15,12,198,2023,2025-07-19 17:22:19,200969628514.0,19202461679.0,35265921927.0,151056760486.0,127926339341.0,53311055376.0,,27.6%,9.6%,17.5%,41.7%,1.33회,추정값,추정값,10056112823.0,
062970,한국첨단소재,00403766,71,30,10,4,15,12,106,2023,2025-07-19 17:22:32,14413036040.0,3022997841.0,3339919530.0,24394158428.0,6498808000.0,17090340389.0,14074264040.0,51.4%,21.0%,23.2%,263.0%,0.59회,추정값,추정값,2959038561.0,475.6%
065660,안트로젠,00631837,70,18,25,0,15,12,154,2023,2025-07-19 17:22:27,6500249535.0,5073842629.0,2840849743.0,149431676947.0,96814852070.0,19986739890.0,93051376377.0,2.9%,78.1%,43.7%,20.6%,0.04회,추정값,추정값,9227980462.0,1008.4%
030720,동원수산,00118044,70,23,10,10,15,12,176,2023,2025-07-19 17:22:23,141944902184.0,19400162561.0,17617266387.0,114611865652.0,15806010735.0,71959495193.0,19785301.0,111.5%,13.7%,12.4%,455.3%,1.24회,추정값,추정값,1274972.0,1551.8%
012690,모나리자,00173102,70,15,18,10,15,12,109,2023,2025-07-19 17:22:32,129760048314.0,6485825685.0,11637165923.0,97045385480.0,18885627500.0,15760804382.0,49486137310.0,61.6%,5.0%,9.0%,83.5%,1.34회,추정값,추정값,1542402450.0,3208.4%
011230,삼화전자,00129280,70,25,14,4,15,12,162,2023,2025-07-19 17:22:26,41906999638.0,5003290248.0,6423547204.0,73014231901.0,31715833017.0,44398805782.0,56890484746.0,20.3%,11.9%,15.3%,140.0%,0.57회,추정값,추정값,13509327350.0,421.1%
065690,파커스,00384762,70,25,14,4,15,12,138,2023,2025-07-19 17:22:30,63616324294.0,9535740999.0,12635006269.0,118074911135.0,41185802427.0,69484452252.0,72650522730.0,30.7%,15.0%,19.9%,168.7%,0.54회,추정값,추정값,7081613668.0,1025.9%
009780,엠에스씨,00121154,70,14,22,7,15,12,135,2023,2025-07-19 17:22:30,189048296801.0,23703127840.0,18467404834.0,223374109543.0,150359711450.0,73014398093.0,109273435881.0,12.3%,12.5%,9.8%,48.6%,0.85회,추정값,추정값,8521991361.0,1282.3%
010240,흥국,00167031,70,23,10,10,15,12,162,2023,2025-07-19 17:22:26,149383250987.0,15801950015.0,16892181632.0,122271325265.0,2112341408.0,22960027159.0,1100843214.0,799.7%,10.6%,11.3%,1086.9%,1.22회,추정값,추정값,99879828.0,1102.2%
